index,dataset,dataset_key,data,model,data_link,model_link,split,part,openfwi_input
0,CurveVel_B,curvevel-b,data1.npy,model1.npy,https://www.googleapis.com/drive/v2/files/1u59q59NtaHngl1dGTy4gCTwKBQ3i4wvw,https://www.googleapis.com/drive/v2/files/1S2F8LNoX1kwwYF2lXfHAsQX4H-YzxLbC,train,1,curvevel-b	/kaggle/input/waveform-inversion-1/CurveVel_B/data/data1.npy	/kaggle/input/waveform-inversion-1/CurveVel_B/model/model1.npy
1,CurveVel_B,curvevel-b,data2.npy,model2.npy,https://www.googleapis.com/drive/v2/files/1EEf9T5IpqvGI4ZLjPrXz2xPnS44j9y_W,https://www.googleapis.com/drive/v2/files/1GHIIAid9M1F8G2A1RgXhpnDBKQkCkJum,train,1,curvevel-b	/kaggle/input/waveform-inversion-1/CurveVel_B/data/data2.npy	/kaggle/input/waveform-inversion-1/CurveVel_B/model/model2.npy
0,FlatFault_A,flatfault-a,seis2_1_0.npy,vel2_1_0.npy,https://www.googleapis.com/drive/v2/files/1OZdX0VtgWdeduSkLI0r0Rnhk5OoY9-3Z,https://www.googleapis.com/drive/v2/files/1mxCVwVpGVnrz1rt75eCd84lGhxuJ-F23,train,1,flatfault-a	/kaggle/input/waveform-inversion-1/FlatFault_A/seis2_1_0.npy	/kaggle/input/waveform-inversion-1/FlatFault_A/vel2_1_0.npy
1,FlatFault_A,flatfault-a,seis2_1_1.npy,vel2_1_1.npy,https://www.googleapis.com/drive/v2/files/1WT4mQ_v3sO6H7lEvhsMehsUhGwswN5EV,https://www.googleapis.com/drive/v2/files/1GdgTkN1T3Fj19qZvm3SWZPu6Tbsx2XRA,train,1,flatfault-a	/kaggle/input/waveform-inversion-1/FlatFault_A/seis2_1_1.npy	/kaggle/input/waveform-inversion-1/FlatFault_A/vel2_1_1.npy
2,FlatFault_A,flatfault-a,seis2_1_2.npy,vel2_1_2.npy,https://www.googleapis.com/drive/v2/files/1h7ZS-FXDlgrvuExP0oMyxYdSmfFgoSVQ,https://www.googleapis.com/drive/v2/files/1AoodrlfL4QZ_qLd-WO9UyD4M5YKTVlto,train,1,flatfault-a	/kaggle/input/waveform-inversion-1/FlatFault_A/seis2_1_2.npy	/kaggle/input/waveform-inversion-1/FlatFault_A/vel2_1_2.npy
3,FlatFault_A,flatfault-a,seis2_1_3.npy,vel2_1_3.npy,https://www.googleapis.com/drive/v2/files/1Gs-UtWhu6xdsezy1nfiMtbYt-HJwI520,https://www.googleapis.com/drive/v2/files/1YNM6wGZRin7K2AOVzFtsNtC_zWan2SWT,train,1,flatfault-a	/kaggle/input/waveform-inversion-1/FlatFault_A/seis2_1_3.npy	/kaggle/input/waveform-inversion-1/FlatFault_A/vel2_1_3.npy
0,FlatFault_B,flatfault-b,seis6_1_0.npy,vel6_1_0.npy,https://www.googleapis.com/drive/v2/files/1w-ya47NRauLj7GKVo5bbRI2u7_HwfGth,https://www.googleapis.com/drive/v2/files/1TuWGr-z9gPYz9_PZ-bQ8LbMT_fclTUSF,train,1,flatfault-b	/kaggle/input/waveform-inversion-1/FlatFault_B/seis6_1_0.npy	/kaggle/input/waveform-inversion-1/FlatFault_B/vel6_1_0.npy
1,FlatFault_B,flatfault-b,seis6_1_1.npy,vel6_1_1.npy,https://www.googleapis.com/drive/v2/files/1NKII6NWY9wByVdS4ZdBuWSwrX5Zfi8Ud,https://www.googleapis.com/drive/v2/files/1tyUntXZBqC2byI2fCIXb7SrD9P9RXGS7,train,1,flatfault-b	/kaggle/input/waveform-inversion-1/FlatFault_B/seis6_1_1.npy	/kaggle/input/waveform-inversion-1/FlatFault_B/vel6_1_1.npy
2,FlatFault_B,flatfault-b,seis6_1_2.npy,vel6_1_2.npy,https://www.googleapis.com/drive/v2/files/1QFvDoJWcoW8dmtOdPcrsUOgYR_nOlvEh,https://www.googleapis.com/drive/v2/files/1U8Wn_212gOhk_cT4irqaPiZ9Ua3aZn03,train,1,flatfault-b	/kaggle/input/waveform-inversion-1/FlatFault_B/seis6_1_2.npy	/kaggle/input/waveform-inversion-1/FlatFault_B/vel6_1_2.npy
3,FlatFault_B,flatfault-b,seis6_1_3.npy,vel6_1_3.npy,https://www.googleapis.com/drive/v2/files/1FTuwUSp-ZVMyp0hbuIdU6nB1q6ehigIv,https://www.googleapis.com/drive/v2/files/1vCjlgo3icGXyV833jgK76uV_rpq9AmJc,train,1,flatfault-b	/kaggle/input/waveform-inversion-1/FlatFault_B/seis6_1_3.npy	/kaggle/input/waveform-inversion-1/FlatFault_B/vel6_1_3.npy
0,FlatVel_A,flatvel-a,data1.npy,model1.npy,https://www.googleapis.com/drive/v2/files/1xgxh2d0q0jb75RSpRFxPSmo8F8ZQaSGs,https://www.googleapis.com/drive/v2/files/10G1aIQwiRPgGyn4QHtTn3lrSQ46f7LM9,train,1,flatvel-a	/kaggle/input/waveform-inversion-1/FlatVel_A/data/data1.npy	/kaggle/input/waveform-inversion-1/FlatVel_A/model/model1.npy
1,FlatVel_A,flatvel-a,data2.npy,model2.npy,https://www.googleapis.com/drive/v2/files/1JgqN5USMdJkBjuFl02QUoaXuTvCVlEsc,https://www.googleapis.com/drive/v2/files/1GR8HkNoSknUSAl6yeAdyxiAZ99_TQkT8,train,1,flatvel-a	/kaggle/input/waveform-inversion-1/FlatVel_A/data/data2.npy	/kaggle/input/waveform-inversion-1/FlatVel_A/model/model2.npy
0,FlatVel_B,flatvel-b,data1.npy,model1.npy,https://www.googleapis.com/drive/v2/files/1hxrCEuaitQY07jP8wTcQcrQCcV6kdxRe,https://www.googleapis.com/drive/v2/files/1LdK-pm1CPcGwdtvKyf4XiNSnv4CrMloZ,train,1,flatvel-b	/kaggle/input/waveform-inversion-1/FlatVel_B/data/data1.npy	/kaggle/input/waveform-inversion-1/FlatVel_B/model/model1.npy
1,FlatVel_B,flatvel-b,data2.npy,model2.npy,https://www.googleapis.com/drive/v2/files/1RkPoVwIZaG_0eexG51mYSWE7IaYN1UIj,https://www.googleapis.com/drive/v2/files/1iqy36TeO6xWL6V2o-L-QbLG8NJv1yThw,train,1,flatvel-b	/kaggle/input/waveform-inversion-1/FlatVel_B/data/data2.npy	/kaggle/input/waveform-inversion-1/FlatVel_B/model/model2.npy
0,Style_A,style-a,data1.npy,model1.npy,https://www.googleapis.com/drive/v2/files/13gIjlhH816GsKFwWhv6zpsE0fo8eTt54,https://www.googleapis.com/drive/v2/files/1XH3HaTtZ5HSqUX7levTrAOilt3G3NdCX,train,1,style-a	/kaggle/input/waveform-inversion-1/Style_A/data/data1.npy	/kaggle/input/waveform-inversion-1/Style_A/model/model1.npy
1,Style_A,style-a,data2.npy,model2.npy,https://www.googleapis.com/drive/v2/files/1uAMKE90GrodED16AsOYTYhQChU9ye5rk,https://www.googleapis.com/drive/v2/files/1RmAS1wZ1tLt_aJ_78CkGhqumPvV-xvDh,train,1,style-a	/kaggle/input/waveform-inversion-1/Style_A/data/data2.npy	/kaggle/input/waveform-inversion-1/Style_A/model/model2.npy
2,Style_A,style-a,data3.npy,model3.npy,https://www.googleapis.com/drive/v2/files/17RIzJV3CsJyeDZLa_1aGXtKNkYDwkq7w,https://www.googleapis.com/drive/v2/files/12DK9U64Jy6KBFycc_p5qDucw-AqUj9lj,train,1,style-a	/kaggle/input/waveform-inversion-1/Style_A/data/data3.npy	/kaggle/input/waveform-inversion-1/Style_A/model/model3.npy
3,Style_A,style-a,data4.npy,model4.npy,https://www.googleapis.com/drive/v2/files/1EUMHPkxgCHSKUioe3G0WK3Nagc8VeK5h,https://www.googleapis.com/drive/v2/files/1_jmhlovncdPbGhtgTFgQ4vTkpIsEiwc9,train,1,style-a	/kaggle/input/waveform-inversion-1/Style_A/data/data4.npy	/kaggle/input/waveform-inversion-1/Style_A/model/model4.npy
4,Style_A,style-a,data5.npy,model5.npy,https://www.googleapis.com/drive/v2/files/1joBXc1ZQeESodFrBOm1kT5tBb972uoxj,https://www.googleapis.com/drive/v2/files/1e-Blf-qSnsOoyWxB4rT0d0nqz--W20MP,train,1,style-a	/kaggle/input/waveform-inversion-1/Style_A/data/data5.npy	/kaggle/input/waveform-inversion-1/Style_A/model/model5.npy
0,Style_B,style-b,data1.npy,model1.npy,https://www.googleapis.com/drive/v2/files/1reuNk-uh834IaHS60UjQWylVu4H9hzOF,https://www.googleapis.com/drive/v2/files/1j1_R0yFvnv4sYEwFbY6x6ZUD6oOB1DAV,train,1,style-b	/kaggle/input/waveform-inversion-1/Style_B/data/data1.npy	/kaggle/input/waveform-inversion-1/Style_B/model/model1.npy
1,Style_B,style-b,data2.npy,model2.npy,https://www.googleapis.com/drive/v2/files/1SNvws8aLs4cvJvtTMXzz3Dnfn43euazX,https://www.googleapis.com/drive/v2/files/1Oqcw1ROj3gYaB4DC8GuHrX_Y04wl1T4b,train,1,style-b	/kaggle/input/waveform-inversion-1/Style_B/data/data2.npy	/kaggle/input/waveform-inversion-1/Style_B/model/model2.npy
2,Style_B,style-b,data3.npy,model3.npy,https://www.googleapis.com/drive/v2/files/1hJ_YJ8yrGiAp4pv9u0pdkckZSeN0q5fE,https://www.googleapis.com/drive/v2/files/1hNrdlLhJeBueUoEMuc2CR778Vjgtq9eo,train,1,style-b	/kaggle/input/waveform-inversion-1/Style_B/data/data3.npy	/kaggle/input/waveform-inversion-1/Style_B/model/model3.npy
3,Style_B,style-b,data4.npy,model4.npy,https://www.googleapis.com/drive/v2/files/1fCofNT00apPFOlRHRqH29M4H_nnyZn7r,https://www.googleapis.com/drive/v2/files/1JY2BnRueBEmW_9OklWEbSLlVnpgmwiew,train,1,style-b	/kaggle/input/waveform-inversion-1/Style_B/data/data4.npy	/kaggle/input/waveform-inversion-1/Style_B/model/model4.npy
4,Style_B,style-b,data5.npy,model5.npy,https://www.googleapis.com/drive/v2/files/1oayzzJISxvN4ZafrOvpfQtOA5IAvtKjJ,https://www.googleapis.com/drive/v2/files/1fbOvBt5NGtXCUreuNL6xW_N2Bzq-Glqy,train,1,style-b	/kaggle/input/waveform-inversion-1/Style_B/data/data5.npy	/kaggle/input/waveform-inversion-1/Style_B/model/model5.npy
4,CurveFault_A,curvefault-a,seis2_1_4.npy,vel2_1_4.npy,https://www.googleapis.com/drive/v2/files/1zO8cIdnvxSHREOk_3LNEjQp6rXjiw_Bb,https://www.googleapis.com/drive/v2/files/18bLL74sdvyGz95cGWm2rkrQyY1CF5rPn,train,2,curvefault-a	/kaggle/input/waveform-inversion-2/CurveFault_A/seis2_1_4.npy	/kaggle/input/waveform-inversion-2/CurveFault_A/vel2_1_4.npy
5,CurveFault_A,curvefault-a,seis2_1_5.npy,vel2_1_5.npy,https://www.googleapis.com/drive/v2/files/1KOUiHceQqvrzFl82MjwZonmDY8HDtT0X,https://www.googleapis.com/drive/v2/files/1FJROixfWius7EylmfDQc0mB_Ps0GjYOK,train,2,curvefault-a	/kaggle/input/waveform-inversion-2/CurveFault_A/seis2_1_5.npy	/kaggle/input/waveform-inversion-2/CurveFault_A/vel2_1_5.npy
6,CurveFault_A,curvefault-a,seis2_1_6.npy,vel2_1_6.npy,https://www.googleapis.com/drive/v2/files/1D8ytg-ZKJEJIscNaDSxpO_IJaZYioQdu,https://www.googleapis.com/drive/v2/files/14DiXIJyQCMTv-rkfhenTgLQ9ROEa_aCJ,train,2,curvefault-a	/kaggle/input/waveform-inversion-2/CurveFault_A/seis2_1_6.npy	/kaggle/input/waveform-inversion-2/CurveFault_A/vel2_1_6.npy
7,CurveFault_A,curvefault-a,seis2_1_7.npy,vel2_1_7.npy,https://www.googleapis.com/drive/v2/files/1g64zME1QRS8V7vpSo7yzvIJVSO74QJfM,https://www.googleapis.com/drive/v2/files/1fZqlZijYPVe6kVNA_kDAk7Pb9TFE2f5F,train,2,curvefault-a	/kaggle/input/waveform-inversion-2/CurveFault_A/seis2_1_7.npy	/kaggle/input/waveform-inversion-2/CurveFault_A/vel2_1_7.npy
4,CurveFault_B,curvefault-b,seis6_1_4.npy,vel6_1_4.npy,https://www.googleapis.com/drive/v2/files/1PzlsIEyMop0Wk5c11dL5ZAUDm5o8n_0w,https://www.googleapis.com/drive/v2/files/1yre1u1XSpRvmroIghQaUtnMXkkTzx1lt,train,2,curvefault-b	/kaggle/input/waveform-inversion-2/CurveFault_B/seis6_1_4.npy	/kaggle/input/waveform-inversion-2/CurveFault_B/vel6_1_4.npy
5,CurveFault_B,curvefault-b,seis6_1_5.npy,vel6_1_5.npy,https://www.googleapis.com/drive/v2/files/1rIxzvOg3PkTsJUTKrGQrXBGiYDbsZWAZ,https://www.googleapis.com/drive/v2/files/1SC-I1pmPyDVOWP2QNNK63q5fdSiWUCuV,train,2,curvefault-b	/kaggle/input/waveform-inversion-2/CurveFault_B/seis6_1_5.npy	/kaggle/input/waveform-inversion-2/CurveFault_B/vel6_1_5.npy
6,CurveFault_B,curvefault-b,seis6_1_6.npy,vel6_1_6.npy,https://www.googleapis.com/drive/v2/files/1HFd5cTmFjDfqzLZrCtYcCGvm56ZOMd-7,https://www.googleapis.com/drive/v2/files/1wMhPbRK4JuaczgZIT049wbT3KyaFG2Gg,train,2,curvefault-b	/kaggle/input/waveform-inversion-2/CurveFault_B/seis6_1_6.npy	/kaggle/input/waveform-inversion-2/CurveFault_B/vel6_1_6.npy
7,CurveFault_B,curvefault-b,seis6_1_7.npy,vel6_1_7.npy,https://www.googleapis.com/drive/v2/files/14q6NXbAr5qZ-1WfXZy5P1WLqO8dET_ik,https://www.googleapis.com/drive/v2/files/1xMSTszGkQwGPLXWY_3pS5UG4TRk8RAwM,train,2,curvefault-b	/kaggle/input/waveform-inversion-2/CurveFault_B/seis6_1_7.npy	/kaggle/input/waveform-inversion-2/CurveFault_B/vel6_1_7.npy
2,CurveVel_A,curvevel-a,data3.npy,model3.npy,https://www.googleapis.com/drive/v2/files/1iF_14VQiVm1Bj1h7fGgWdY4-Rjf4VPGo,https://www.googleapis.com/drive/v2/files/18WP3Rktuje0a1bS5otLue2-E9zbZ0Fou,train,2,curvevel-a	/kaggle/input/waveform-inversion-2/CurveVel_A/data/data3.npy	/kaggle/input/waveform-inversion-2/CurveVel_A/model/model3.npy
3,CurveVel_A,curvevel-a,data4.npy,model4.npy,https://www.googleapis.com/drive/v2/files/1NTH0zZPw3dOiLlK2caHMqzzGl_srBEbl,https://www.googleapis.com/drive/v2/files/1bQxoPrLVQJ1WrwH6EKS4B3NI5lTjpvDx,train,2,curvevel-a	/kaggle/input/waveform-inversion-2/CurveVel_A/data/data4.npy	/kaggle/input/waveform-inversion-2/CurveVel_A/model/model4.npy
2,CurveVel_B,curvevel-b,data3.npy,model3.npy,https://www.googleapis.com/drive/v2/files/1MGKK73__PZGEhwNmE8K4ZV8Dj3PxyWbl,https://www.googleapis.com/drive/v2/files/1_m5cgBdVlW85hWkns7wECEWnbOzZylC7,train,2,curvevel-b	/kaggle/input/waveform-inversion-2/CurveVel_B/data/data3.npy	/kaggle/input/waveform-inversion-2/CurveVel_B/model/model3.npy
3,CurveVel_B,curvevel-b,data4.npy,model4.npy,https://www.googleapis.com/drive/v2/files/1Ad3r4TQSfYWVB7AOKKbYk55LajDPq_MS,https://www.googleapis.com/drive/v2/files/1vePDNLCdwVyZdP3mFJvv5OGnW73j_Dt4,train,2,curvevel-b	/kaggle/input/waveform-inversion-2/CurveVel_B/data/data4.npy	/kaggle/input/waveform-inversion-2/CurveVel_B/model/model4.npy
4,FlatFault_A,flatfault-a,seis2_1_4.npy,vel2_1_4.npy,https://www.googleapis.com/drive/v2/files/18c4duSgBXdwg7Ep_H5YZsgq_D2MuY7Cv,https://www.googleapis.com/drive/v2/files/1eZJcvL20MOo6ys2YukBdsf9WIy3Jm4tH,train,2,flatfault-a	/kaggle/input/waveform-inversion-2/FlatFault_A/seis2_1_4.npy	/kaggle/input/waveform-inversion-2/FlatFault_A/vel2_1_4.npy
5,FlatFault_A,flatfault-a,seis2_1_5.npy,vel2_1_5.npy,https://www.googleapis.com/drive/v2/files/17NOezzv5qIARTD6YBJOqe8lCnDWBO1qY,https://www.googleapis.com/drive/v2/files/1Z93BkAgfF0UpMJIwHlyTKeuWeEugly6r,train,2,flatfault-a	/kaggle/input/waveform-inversion-2/FlatFault_A/seis2_1_5.npy	/kaggle/input/waveform-inversion-2/FlatFault_A/vel2_1_5.npy
6,FlatFault_A,flatfault-a,seis2_1_6.npy,vel2_1_6.npy,https://www.googleapis.com/drive/v2/files/176s08wc_x0JDQJsS4LpM-hYcPZC95cTH,https://www.googleapis.com/drive/v2/files/1-GHPm3STbmqyfNlnA2vK3VKYxfFda4jA,train,2,flatfault-a	/kaggle/input/waveform-inversion-2/FlatFault_A/seis2_1_6.npy	/kaggle/input/waveform-inversion-2/FlatFault_A/vel2_1_6.npy
7,FlatFault_A,flatfault-a,seis2_1_7.npy,vel2_1_7.npy,https://www.googleapis.com/drive/v2/files/1KA-fOHhU4iVHfeLp_-r18zizfkFoVCWL,https://www.googleapis.com/drive/v2/files/1t9Mf84jM17zuxBvfvYauBlEUouiTHKp3,train,2,flatfault-a	/kaggle/input/waveform-inversion-2/FlatFault_A/seis2_1_7.npy	/kaggle/input/waveform-inversion-2/FlatFault_A/vel2_1_7.npy
4,FlatFault_B,flatfault-b,seis6_1_4.npy,vel6_1_4.npy,https://www.googleapis.com/drive/v2/files/1PW0AqSj70UCUCOLb_FhP4C6T-MRz7Efz,https://www.googleapis.com/drive/v2/files/1CKcX-ajWvLnLvmo9Xner4JECcinhanvJ,train,2,flatfault-b	/kaggle/input/waveform-inversion-2/FlatFault_B/seis6_1_4.npy	/kaggle/input/waveform-inversion-2/FlatFault_B/vel6_1_4.npy
5,FlatFault_B,flatfault-b,seis6_1_5.npy,vel6_1_5.npy,https://www.googleapis.com/drive/v2/files/11k37Ca-wRXyBc6vt-vreLsGTfpkKOeFu,https://www.googleapis.com/drive/v2/files/1JaN5Ecm7uHMqdRWpu2DhYK2cpmNll6Fb,train,2,flatfault-b	/kaggle/input/waveform-inversion-2/FlatFault_B/seis6_1_5.npy	/kaggle/input/waveform-inversion-2/FlatFault_B/vel6_1_5.npy
6,FlatFault_B,flatfault-b,seis6_1_6.npy,vel6_1_6.npy,https://www.googleapis.com/drive/v2/files/1B8yfS5hnPe836fVvJMXav5cKabUpRJw2,https://www.googleapis.com/drive/v2/files/1HAAUdMLUWclcdBZQEUic-rXokPkcPDA1,train,2,flatfault-b	/kaggle/input/waveform-inversion-2/FlatFault_B/seis6_1_6.npy	/kaggle/input/waveform-inversion-2/FlatFault_B/vel6_1_6.npy
7,FlatFault_B,flatfault-b,seis6_1_7.npy,vel6_1_7.npy,https://www.googleapis.com/drive/v2/files/1fMN5qR6d8KxDd743EyMwHed6oQ6OGfww,https://www.googleapis.com/drive/v2/files/1aE0mO6dDMTI8Us-DMihw-QkUhap053MZ,train,2,flatfault-b	/kaggle/input/waveform-inversion-2/FlatFault_B/seis6_1_7.npy	/kaggle/input/waveform-inversion-2/FlatFault_B/vel6_1_7.npy
2,FlatVel_A,flatvel-a,data3.npy,model3.npy,https://www.googleapis.com/drive/v2/files/1HV10bapoGwOucuOQNDlU6CDuScUAwpj2,https://www.googleapis.com/drive/v2/files/1UZ3Deu7F-7kbXhsIzgnBuUtA6mHqahQu,train,2,flatvel-a	/kaggle/input/waveform-inversion-2/FlatVel_A/data/data3.npy	/kaggle/input/waveform-inversion-2/FlatVel_A/model/model3.npy
3,FlatVel_A,flatvel-a,data4.npy,model4.npy,https://www.googleapis.com/drive/v2/files/1FUSkLVnyoZlMiBecyRKtcQNazichrd8H,https://www.googleapis.com/drive/v2/files/1XAkYIhqPLNVvwpHBjeyrT13VEw9yPtNf,train,2,flatvel-a	/kaggle/input/waveform-inversion-2/FlatVel_A/data/data4.npy	/kaggle/input/waveform-inversion-2/FlatVel_A/model/model4.npy
2,FlatVel_B,flatvel-b,data3.npy,model3.npy,https://www.googleapis.com/drive/v2/files/1WNum5n5T1Ux8KQf_4_tiO-eocnsX7ojb,https://www.googleapis.com/drive/v2/files/16NBpadhO1n7qht2_OXIQx99gG6vkECnj,train,2,flatvel-b	/kaggle/input/waveform-inversion-2/FlatVel_B/data/data3.npy	/kaggle/input/waveform-inversion-2/FlatVel_B/model/model3.npy
3,FlatVel_B,flatvel-b,data4.npy,model4.npy,https://www.googleapis.com/drive/v2/files/1ZKPZCTDdIeWkyyyS-ECGpCjXg9ogghGs,https://www.googleapis.com/drive/v2/files/1H28-fKTwIRZSMpdJiaUQyulrCFLNBcB9,train,2,flatvel-b	/kaggle/input/waveform-inversion-2/FlatVel_B/data/data4.npy	/kaggle/input/waveform-inversion-2/FlatVel_B/model/model4.npy
5,Style_A,style-a,data6.npy,model6.npy,https://www.googleapis.com/drive/v2/files/1m4IAaHkqazpmhapbUpL_6p5kEDaNgVh1,https://www.googleapis.com/drive/v2/files/1KLT7Sa40WINStPUv-1EGTp7A0K5ExQtT,train,2,style-a	/kaggle/input/waveform-inversion-2/Style_A/data/data6.npy	/kaggle/input/waveform-inversion-2/Style_A/model/model6.npy
6,Style_A,style-a,data7.npy,model7.npy,https://www.googleapis.com/drive/v2/files/1QjnAFgAksHW01e0YUc4k0s7dGjPA4sWE,https://www.googleapis.com/drive/v2/files/1qETPsEpICeMM5BsGhMvNv906J4u-9dQP,train,2,style-a	/kaggle/input/waveform-inversion-2/Style_A/data/data7.npy	/kaggle/input/waveform-inversion-2/Style_A/model/model7.npy
7,Style_A,style-a,data8.npy,model8.npy,https://www.googleapis.com/drive/v2/files/1EYMwJZTTvEkywlTUE3_85olb7nVnztvG,https://www.googleapis.com/drive/v2/files/1yplfDag1YXoNXDciQ9WSye2bsPDIVD-l,train,2,style-a	/kaggle/input/waveform-inversion-2/Style_A/data/data8.npy	/kaggle/input/waveform-inversion-2/Style_A/model/model8.npy
8,Style_A,style-a,data9.npy,model9.npy,https://www.googleapis.com/drive/v2/files/1aCYxx5jwL8VDxaP4ughWoRnAS0tghby1,https://www.googleapis.com/drive/v2/files/1q4nU9C2W_OPriUVcEY39-OAOUJievheN,train,2,style-a	/kaggle/input/waveform-inversion-2/Style_A/data/data9.npy	/kaggle/input/waveform-inversion-2/Style_A/model/model9.npy
9,Style_A,style-a,data10.npy,model10.npy,https://www.googleapis.com/drive/v2/files/1PRF51Spx_Ny73MauaC1Wj2rNR7nIdsLR,https://www.googleapis.com/drive/v2/files/1JUUdM-u3kiw7OdpI39uGIBLCgXhIUuUS,train,2,style-a	/kaggle/input/waveform-inversion-2/Style_A/data/data10.npy	/kaggle/input/waveform-inversion-2/Style_A/model/model10.npy
5,Style_B,style-b,data6.npy,model6.npy,https://www.googleapis.com/drive/v2/files/19tXFFBY6BzxMF7RZ7ie8FRQMk9WqRVyw,https://www.googleapis.com/drive/v2/files/1KAtGveu6QPcEiDcdR7BbP5CqhvCEb1zg,train,2,style-b	/kaggle/input/waveform-inversion-2/Style_B/data/data6.npy	/kaggle/input/waveform-inversion-2/Style_B/model/model6.npy
